app/registration-hub.tsx(70,3): error TS2300: Duplicate identifier 'custom_answers'.
app/registration-hub.tsx(128,3): error TS2300: Duplicate identifier 'custom_answers'.
app/registration-hub.tsx(128,3): error TS2717: Subsequent property declarations must have the same type.  Property 'custom_answers' must be of type 'Record<string, string> | undefined', but here has type 'Record<string, any> | undefined'.
components/_legacy/AdminDashboard.tsx(38,26): error TS2307: Cannot find module './ui/AppHeaderBar' or its corresponding type declarations.
components/_legacy/AdminDashboard.tsx(39,27): error TS2307: Cannot find module './ui/SectionHeader' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(33,41): error TS2307: Cannot find module './AchievementCelebrationModal' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(34,24): error TS2307: Cannot find module './LevelBadge' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(35,26): error TS2307: Cannot find module './ui/AppHeaderBar' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(36,22): error TS2307: Cannot find module './ui/PillTabs' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(37,27): error TS2307: Cannot find module './ui/SectionHeader' or its corresponding type declarations.
components/_legacy/CoachDashboard.tsx(659,22): error TS7006: Parameter 'key' implicitly has an 'any' type.
components/_legacy/CoachParentDashboard.tsx(18,26): error TS2307: Cannot find module './ui/AppHeaderBar' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(41,41): error TS2307: Cannot find module './AchievementCelebrationModal' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(43,30): error TS2307: Cannot find module './EventDetailModal' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(44,24): error TS2307: Cannot find module './LevelBadge' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(45,26): error TS2307: Cannot find module './ui/AppHeaderBar' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(46,31): error TS2307: Cannot find module './EventCard' or its corresponding type declarations.
components/_legacy/ParentDashboard.tsx(47,27): error TS2307: Cannot find module './ui/SectionHeader' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(35,41): error TS2307: Cannot find module './AchievementCelebrationModal' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(36,28): error TS2307: Cannot find module './AnimatedNumber' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(37,29): error TS2307: Cannot find module './AnimatedStatBar' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(38,30): error TS2307: Cannot find module './CircularProgress' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(39,22): error TS2307: Cannot find module './HexBadge' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(40,27): error TS2307: Cannot find module './PressableCard' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(41,24): error TS2307: Cannot find module './RarityGlow' or its corresponding type declarations.
components/_legacy/PlayerDashboard.tsx(42,26): error TS2307: Cannot find module './RoleSelector' or its corresponding type declarations.
design-reference/v0-components/bottom-nav.tsx(1,71): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
design-reference/v0-components/full-schedule.tsx(3,90): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
design-reference/v0-components/full-schedule.tsx(6,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
design-reference/v0-components/match-card.tsx(1,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
design-reference/v0-components/parent-dashboard.tsx(1,19): error TS2307: Cannot find module 'next/image' or its corresponding type declarations.
design-reference/v0-components/parent-dashboard.tsx(2,30): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
design-reference/v0-components/pill-tabs.tsx(3,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
design-reference/v0-components/team-wall.tsx(1,19): error TS2307: Cannot find module 'next/image' or its corresponding type declarations.
design-reference/v0-components/team-wall.tsx(2,44): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
design-reference/v0-components/team-wall.tsx(5,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
lib/email-queue.ts(47,12): error TS7053: Element implicitly has an 'any' type because expression of type 'PrefKey' can't be used to index type '{ event_updates: any; } | { game_reminders: any; }'.
  Property 'event_updates' does not exist on type '{ event_updates: any; } | { game_reminders: any; }'.
reference/design-references/player-mockups/m1-roster-carousel.tsx(3,58): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/player-mockups/m2-player-card.tsx(3,35): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/player-mockups/s1-player-home.tsx(3,99): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/player-mockups/s2-badges-challenges.tsx(3,71): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/player-mockups/s4-game-recap.tsx(3,80): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/player-mockups/s5-team-pulse.tsx(3,88): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/app/layout.tsx(1,41): error TS2307: Cannot find module 'next' or its corresponding type declarations.
reference/design-references/v0-mockups/app/layout.tsx(2,35): error TS2307: Cannot find module 'next/font/google' or its corresponding type declarations.
reference/design-references/v0-mockups/app/layout.tsx(3,27): error TS2307: Cannot find module '@vercel/analytics/next' or its corresponding type declarations.
reference/design-references/v0-mockups/app/page.tsx(1,31): error TS2307: Cannot find module '@/components/phone-showcase' or its corresponding type declarations.
reference/design-references/v0-mockups/components/screens/v1-airy-welcome.tsx(3,91): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/screens/v2-photo-magazine.tsx(3,89): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/screens/v3-dashboard-cards.tsx(3,109): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/screens/v4-scroll-stories.tsx(3,89): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/screens/v5-night-mode.tsx(3,89): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/theme-provider.tsx(7,8): error TS2307: Cannot find module 'next-themes' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/accordion.tsx(4,37): error TS2307: Cannot find module '@radix-ui/react-accordion' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/accordion.tsx(5,33): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/accordion.tsx(7,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/alert-dialog.tsx(4,39): error TS2307: Cannot find module '@radix-ui/react-alert-dialog' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/alert-dialog.tsx(6,20): error TS2307: Cannot find module '@/lib/utils' or its corresponding type declarations.
reference/design-references/v0-mockups/components/ui/alert-dialog.tsx(7,32): error TS2307: Cannot find module '@/components/ui/button' or its corresponding type declarations.
